text	code	workerid	probid	subid	line	indent
	}	05	163A	39817136	29	1
return ret	return ret;	05	163A	39817136	30	1
	}	05	163A	39817136	31	0
	int main() {	05	163A	39817136	32	0
read s, q	cin >> s >> q;	05	163A	39817136	33	1
set all contents of dp to -1	memset(dp, -1, sizeof dp);	05	163A	39817136	34	1
print solve(0, 0, 0)	cout << solve(0, 0, 0) << endl;	05	163A	39817136	35	1
	return 0;	05	163A	39817136	36	1
	}	05	163A	39817136	37	0
create ints n, a, b, c, d, sum, l1 and l2	int n, a, b, c, d, sum, l1, l2;	54	57A	28590285	0	0
	int main() {	54	57A	28590285	1	0
read n, a, b, c and d	cin >> n >> a >> b >> c >> d;	54	57A	28590285	2	1
if a = 0	if (a == 0)	54	57A	28590285	3	1
assign b to l1	l1 = b;	54	57A	28590285	4	2
else if a = n	else if (a == n)	54	57A	28590285	5	1
assign 3 * n - b to l1	l1 = 3 * n - b;	54	57A	28590285	6	2
else if b = 0	else if (b == 0)	54	57A	28590285	7	1
assign 4 * n - a to l1	l1 = 4 * n - a;	54	57A	28590285	8	2
else if b = n	else if (b == n)	54	57A	28590285	9	1
assign n + a to l1	l1 = n + a;	54	57A	28590285	10	2
if c is 0	if (c == 0)	54	57A	28590285	11	1
set l2 to d	l2 = d;	54	57A	28590285	12	2
else if c = n	else if (c == n)	54	57A	28590285	13	1
set l2 to 3 * n - d	l2 = 3 * n - d;	54	57A	28590285	14	2
else if d = 0	else if (d == 0)	54	57A	28590285	15	1
change l2 to 4 * n - c	l2 = 4 * n - c;	54	57A	28590285	16	2
else if d = n	else if (d == n)	54	57A	28590285	17	1
assign n + c to l2	l2 = n + c;	54	57A	28590285	18	2
print min if abs(l1 - l2) and 4 * n - abs(l1 - l2)	cout << min(abs(l1 - l2), 4 * n - abs(l1 - l2)) << endl;	54	57A	28590285	19	1
	}	54	57A	28590285	20	0
maxn=2000010	const int maxn = 2e6 + 10;	31	568A	36183666	0	0
eps=1e-14	const int eps = 1e-14;	31	568A	36183666	1	0
mod=1000000007	const int mod = 1e9 + 7;	31	568A	36183666	2	0
inf=10^18	const long long inf = 1e18;	31	568A	36183666	3	0
pri=array of maxn int	int pri[maxn];	31	568A	36183666	4	0
a=array of 500 int	int a[500];	31	568A	36183666	5	0
npri and npal = array of maxn int	int npri[maxn], npal[maxn];	31	568A	36183666	6	0
function getprime (no args, no return value)	void getprime() {	31	568A	36183666	7	0
fill pri with 0	memset(pri, 0, sizeof pri);	31	568A	36183666	8	1
for i=2 to maxn exclusive	for (int i = 2; i < maxn; i++) {	31	568A	36183666	9	1
if not pri[i]	if (!pri[i]) {	31	568A	36183666	10	2
for j=2*i to maxn by i exclusive pri[j]=1	for (int j = 2 * i; j < maxn; j += i) pri[j] = 1;	31	568A	36183666	11	3
	}	31	568A	36183666	12	2
	}	31	568A	36183666	13	1
	}	31	568A	36183666	14	0
function getpal (get int x, return int)	int getpal(int x) {	31	568A	36183666	15	0
cnt=0	int cnt = 0;	31	568A	36183666	16	1
while x	while (x) {	31	568A	36183666	17	1
a[cnt]=x modulo 10, increment cnt	a[cnt++] = x % 10;	31	568A	36183666	18	2
divide x by 10	x /= 10;	31	568A	36183666	19	2
	}	31	568A	36183666	20	1
for i=0 to cnt/2 exclusive	for (int i = 0; i < cnt / 2; i++) {	31	568A	36183666	21	1
if a[i] is not a[cnt-i-1] return 0	if (a[i] != a[cnt - i - 1]) return 0;	31	568A	36183666	22	2
	}	31	568A	36183666	23	1
return 1	return 1;	31	568A	36183666	24	1
	}	31	568A	36183666	25	0
function solve (no args, no return value)	void solve() {	31	568A	36183666	26	0
for i=2 to maxn exclusive npri[i]=npri[i-1]+(pri[i] is 0)	for (int i = 2; i < maxn; i++) { npri[i] = npri[i - 1] + (pri[i] == 0); }	31	568A	36183666	27	1
for i=1 to maxn exclusive npri[i]=npri[i-1]+getpal(i)	for (int i = 1; i < maxn; i++) { npal[i] = npal[i - 1] + getpal(i); }	31	568A	36183666	28	1
	}	31	568A	36183666	29	0
	int main() {	31	568A	36183666	30	0
getprime()	getprime();	31	568A	36183666	31	1
solve()	solve();	31	568A	36183666	32	1
p,q=int	int p, q;	31	568A	36183666	33	1
read p,q	cin >> p >> q;	31	568A	36183666	34	1
for i=maxn-1 down to 0 inclusive	for (int i = maxn - 1; i >= 0; i--) {	31	568A	36183666	35	1
if q*npri[i] <= npal[i]*p	if (q * npri[i] <= npal[i] * p) {	31	568A	36183666	36	2
print i	cout << i << endl;	31	568A	36183666	37	3
	return 0;	31	568A	36183666	38	3
	}	31	568A	36183666	39	2
	}	31	568A	36183666	40	1
print "Palindromic tree is better than splay tree"	cout << "Palindromic tree is better than splay tree" << endl;	31	568A	36183666	41	1
	return 0;	31	568A	36183666	42	1
	}	31	568A	36183666	43	0
create long longs N, K and ans and an array of long longs a with size 100005	long long N, K, a[100005], ans;	54	274A	39650611	0	0
let b be a map from long long to boolean	map<long long, bool> b;	54	274A	39650611	1	0
	int main() {	54	274A	39650611	2	0
read input to N and K	cin >> N >> K;	54	274A	39650611	3	1
set ans to 0	ans = 0;	54	274A	39650611	4	1
for i = 1 to N inclusive, read a[i]	for (int i = 1; i <= N; i++) { cin >> a[i]; }	54	274A	39650611	5	1
sort a from position 1 to N + 1	sort(a + 1, a + N + 1);	54	274A	39650611	6	1
loop i from 1 to N inclusive	for (int i = 1; i <= N; i++) {	54	274A	39650611	7	1
if b[a[i]] = 0	if (!b[a[i]]) {	54	274A	39650611	8	2
increment ans	ans++;	54	274A	39650611	9	3
change b[a[i] * K] to 1	b[a[i] * K] = 1;	54	274A	39650611	10	3
	}	54	274A	39650611	11	2
	}	54	274A	39650611	12	1
print ans	cout << ans << endl;	54	274A	39650611	13	1
	}	54	274A	39650611	14	0
	int main() {	10	587A	45682350	0	0
a = int	int a;	10	587A	45682350	1	1
read a	cin >> a;	10	587A	45682350	2	1
arr = int array of size 1000100 with all values set to 0	int arr[1000100] = {0};	10	587A	45682350	3	1
b = int	int b;	10	587A	45682350	4	1
loop a times	while (a--) {	10	587A	45682350	5	1
read b	cin >> b;	10	587A	45682350	6	2
increment arr[b]	arr[b]++;	10	587A	45682350	7	2
	}	10	587A	45682350	8	1
ans = int with ans = 0	int ans = 0;	10	587A	45682350	9	1
sum = int with sum = 0	int sum = 0;	10	587A	45682350	10	1
for i = 0 to 1000100	for (int i = 0; i < 1000100; i++) {	10	587A	45682350	11	1
increment sum by arr[i]	sum = sum + arr[i];	10	587A	45682350	12	2
set arr[i] to sum mod 2	arr[i] = sum % 2;	10	587A	45682350	13	2
set sum to sum / 2	sum = sum / 2;	10	587A	45682350	14	2
if arr[i] increment ans	if (arr[i]) ans++;	10	587A	45682350	15	2
	}	10	587A	45682350	16	1
print ans	cout << ans << endl;	10	587A	45682350	17	1
	return 0;	10	587A	45682350	18	1
	}	10	587A	45682350	19	0
	int main() {	54	230A	49024516	0	0
declare new integer variable n	int n;	54	230A	49024516	1	1
create new int64_t variable s	int64_t s;	54	230A	49024516	2	1
read user input to s and n	cin >> s >> n;	54	230A	49024516	3	1
create an array of int-int pairs mp with n elements	pair<int, int> mp[n];	54	230A	49024516	4	1
for i from 0 to n exclusive incrementing i	for (int i = 0; i < n; i++) {	54	230A	49024516	5	1
create new integers a and b	int a, b;	54	230A	49024516	6	2
read input to a and b	cin >> a >> b;	54	230A	49024516	7	2
set the first item of mp[i] to a	mp[i].first = a;	54	230A	49024516	8	2
set the second item of mp[i] to b	mp[i].second = b;	54	230A	49024516	9	2
	}	54	230A	49024516	10	1
sort mp from 0 to position n	sort(mp, mp + n);	54	230A	49024516	11	1
create new integer variable c = 0	int c = 0;	54	230A	49024516	12	1
for i from 0 to n exclusive while mp[i].first < s	for (int i = 0; i < n && mp[i].first < s; i++) {	54	230A	49024516	13	1
change s to s + second value of mp[i]	s += mp[i].second;	54	230A	49024516	14	2
increment c	c++;	54	230A	49024516	15	2
	}	54	230A	49024516	16	1
if c != n	if (c != n)	54	230A	49024516	17	1
print "NO"	cout << "NO" << endl;	54	230A	49024516	18	2
else	else	54	230A	49024516	19	1
print "YES"	cout << "YES" << endl;	54	230A	49024516	20	2
	return 0;	54	230A	49024516	21	1
	}	54	230A	49024516	22	0
	int main() {	02	204A	48417588	0	0
let n, d, i, j be integers	int n, d, i, j;	02	204A	48417588	1	1
let L, R be long integers	long long L, R;	02	204A	48417588	2	1
read L, R	cin >> L >> R;	02	204A	48417588	3	1
let ans be a long integer with ans = 0	long long ans = 0;	02	204A	48417588	4	1
let ten be a long integer with ten = 1	long long ten = 1;	02	204A	48417588	5	1
for integer n = 0 to 18 exclusive	for ((n) = 0; (n) < (int)(18); (n)++) {	02	204A	48417588	6	1
for d = 1 to 9 inclusive	for (d = 1; d <= 9; d++) {	02	204A	48417588	7	2
let low, high be long integers with low = d * ten, high = (d + 1) * ten - 1	long long low = d * ten, high = (d + 1) * ten - 1;	02	204A	48417588	8	3
low is equal to maximum of low, L	low = max(low, L);	02	204A	48417588	9	3
high is equal to minimum of high, R	high = min(high, R);	02	204A	48417588	10	3
while low modulo 10 is not equal to d, increment low by 1	while (low % 10 != d) low++;	02	204A	48417588	11	3
while (high modulo 10 + 10) modulo 10 is not equal to d	while ((high % 10 + 10) % 10 != d) high--;	02	204A	48417588	12	3
if low <= high, increment ans by (high - low) / 10 + 1	if (low <= high) ans += (high - low) / 10 + 1;	02	204A	48417588	13	3
	}	02	204A	48417588	14	2
ten = ten * 10	ten *= 10;	02	204A	48417588	15	2
	}	02	204A	48417588	16	1
print ans and newline	cout << ans << endl;	02	204A	48417588	17	1
	return 0;	02	204A	48417588	18	1
	}	02	204A	48417588	19	0
create new array of characters str with 101 elements	char str[101];	54	976A	49044169	0	0
	int main() {	54	976A	49044169	1	0
let n and sum be integers with sum = 0	int n, sum = 0;	54	976A	49044169	2	1
read variable n from the input	cin >> n;	54	976A	49044169	3	1
in a for loop, change i from 0 to n exclusive	for (int i = 0; i < n; i++) {	54	976A	49044169	4	1
read input to str[i]	cin >> str[i];	54	976A	49044169	5	2
if str[i] is equal to '0', increment sum by one	if (str[i] == '0') sum++;	54	976A	49044169	6	2
	}	54	976A	49044169	7	1
if n = 1 and str[0] = '0'	if (n == 1 && str[0] == '0')	54	976A	49044169	8	1
print 0 to the standard output	cout << 0 << endl;	54	976A	49044169	9	2
else	else {	54	976A	49044169	10	1
print 1 to the standard output	cout << 1;	54	976A	49044169	11	2
print 0 sum times	for (int i = 0; i < sum; i++) cout << 0;	54	976A	49044169	12	2
print new line	cout << endl;	54	976A	49044169	13	2
	}	54	976A	49044169	14	1
	}	54	976A	49044169	15	0
	int main() {	31	89A	35128436	0	0
i,n,m,k=long long int, arr=array of 100000 long long int	long long int i, n, m, k, arr[100000];	31	89A	35128436	1	1
temp=long long int with value INFINITY	long long int temp = INFINITY;	31	89A	35128436	2	1
read n,m,k	cin >> n >> m >> k;	31	89A	35128436	3	1
for i=0 to n exclusive read arr[i]	for (i = 0; i < n; i++) { cin >> arr[i]; }	31	89A	35128436	4	1
if n is even or n/2+1 > m	if (n % 2 == 0 || (n / 2) + 1 > m) {	31	89A	35128436	5	1
print "0"	cout << "0" << endl;	31	89A	35128436	6	2
else	} else {	31	89A	35128436	7	1
for i=0 to n by 2 temp=min(temp, arr[i])	for (i = 0; i < n; i += 2) { temp = min(temp, arr[i]); }	31	89A	35128436	8	2
s=(m/(n/2)+1))*k	long long s = (m / ((n / 2) + 1)) * k;	31	89A	35128436	9	2
temp=min(temp, s)	temp = min(temp, s);	31	89A	35128436	10	2
print temp	cout << temp << endl;	31	89A	35128436	11	2
	}	31	89A	35128436	12	1
	return 0;	31	89A	35128436	13	1
	}	31	89A	35128436	14	0
n = int	int n;	10	754A	48440638	0	0
sum = int	int sum;	10	754A	48440638	1	0
a = int array of size 101	int a[101];	10	754A	48440638	2	0
	int main() {	10	754A	48440638	3	0
read n	cin >> n;	10	754A	48440638	4	1
for i = 1 to n inclusive	for (int i = 1; i <= n; i++) {	10	754A	48440638	5	1
read a[i]	cin >> a[i];	10	754A	48440638	6	2
increment sum by a[i]	sum += a[i];	10	754A	48440638	7	2
	}	10	754A	48440638	8	1
if sum is not 0	if (sum != 0) {	10	754A	48440638	9	1
print "YES"	cout << "YES" << endl;	10	754A	48440638	10	2
print "1"	cout << "1" << endl;	10	754A	48440638	11	2
print "1" and n	cout << "1 " << n << endl;	10	754A	48440638	12	2
	return 0;	10	754A	48440638	13	2
	}	10	754A	48440638	14	1
if sum is 0	if (sum == 0) {	10	754A	48440638	15	1
for i = 1 to n inclusive	for (int i = 1; i <= n; i++) {	10	754A	48440638	16	2
increment sum by a[i]	sum += a[i];	10	754A	48440638	17	3
if sum is not 0	if (sum != 0) {	10	754A	48440638	18	3
print "YES"	cout << "YES" << endl;	10	754A	48440638	19	4
print "2"	cout << "2" << endl;	10	754A	48440638	20	4
print "1" and i	cout << "1 " << i << endl;	10	754A	48440638	21	4
print i + 1 and n	cout << i + 1 << " " << n << endl;	10	754A	48440638	22	4
	return 0;	10	754A	48440638	23	4
	}	10	754A	48440638	24	3
	}	10	754A	48440638	25	2
	}	10	754A	48440638	26	1
print "NO"	cout << "NO" << endl;	10	754A	48440638	27	1
	}	10	754A	48440638	28	0
	int main() {	54	1016A	48525983	0	0
declare int variables a, n, m, i, j, p and num, and an array of ints t with size 200010 filled with 0	int a, n, m, i, j, t[200010] = {0}, p, num;	54	1016A	48525983	1	1
read n and m and loop further	while (cin >> n >> m) {	54	1016A	48525983	2	1
read n elements from the user input to array t, starting from the index 1	for (i = 1; i <= n; i++) cin >> t[i];	54	1016A	48525983	3	2
start for loop from i = 1 to n inclusive	for (i = 1; i <= n; i++) {	54	1016A	48525983	4	2
change t[i] to t[i] + t[i - 1]	t[i] += t[i - 1];	54	1016A	48525983	5	3
set the value of num to t[i] / m	num = t[i] / m;	54	1016A	48525983	6	3
decrease t[i] by num * m	t[i] -= num * m;	54	1016A	48525983	7	3
print num	cout << num;	54	1016A	48525983	8	3
if i != n, print ' ' to the stdout	if (i != n) cout << ' ';	54	1016A	48525983	9	3
	}	54	1016A	48525983	10	2
print new line	cout << endl;	54	1016A	48525983	11	2
	}	54	1016A	48525983	12	1
	return 0;	54	1016A	48525983	13	1
	}	54	1016A	48525983	14	0
i, k, x, a, b, c, n = integers	int i, k, x, a, b, c, n;	04	349A	48435694	0	0
	int main() {	04	349A	48435694	1	0
Read n	cin >> n;	04	349A	48435694	2	1
for i = 0 to n exclusive	for (i = 0; i < n; i++) {	04	349A	48435694	3	1
Read x	cin >> x;	04	349A	48435694	4	2
if x is 25	if (x == 25) {	04	349A	48435694	5	2
increment a	a++;	04	349A	48435694	6	3
else if x is 50	} else if (x == 50) {	04	349A	48435694	7	2
increment b	b++;	04	349A	48435694	8	3
if a is greater than 0	if (a > 0) {	04	349A	48435694	9	3
decrement a	a--;	04	349A	48435694	10	4
else do the following	} else {	04	349A	48435694	11	3
print NO and a new line	cout << "NO" << endl;	04	349A	48435694	12	4
Terminate the loop	break;	04	349A	48435694	13	4
	}	04	349A	48435694	14	3
else if x is 100	} else if (x == 100) {	04	349A	48435694	15	2
if b is greater than 0 and a is greater than 0	if (b > 0 && a > 0) {	04	349A	48435694	16	3
decrement b	b--;	04	349A	48435694	17	4
decrement a	a--;	04	349A	48435694	18	4
else if a is greater than 2	} else if (a > 2) {	04	349A	48435694	19	3
set a to a - 3	a -= 3;	04	349A	48435694	20	4
else do the following	} else {	04	349A	48435694	21	3
print NO and a new line	cout << "NO" << endl;	04	349A	48435694	22	4
Terminate the loop	break;	04	349A	48435694	23	4
	}	04	349A	48435694	24	3
	}	04	349A	48435694	25	2
	}	04	349A	48435694	26	1
if i is n, then print YES and a new line	if (i == n) { cout << "YES" << endl; }	04	349A	48435694	27	1
	}	04	349A	48435694	28	0
	int main() {	04	315A	49037267	0	0
n =integer	int n;	04	315A	49037267	1	1
Read n	cin >> n;	04	315A	49037267	2	1
a, b = array of n integers each	int a[n], b[n];	04	315A	49037267	3	1
read n values into array a and array b	for (int i = 0; i < n; i++) { cin >> a[i] >> b[i]; }	04	315A	49037267	4	1
ans = integer with 0	int ans = 0;	04	315A	49037267	5	1
for j = 0 to n exclusive	for (int j = 0; j < n; j++) {	04	315A	49037267	6	1
for i = 0 to n exclusive	for (int i = 0; i < n; i++) {	04	315A	49037267	7	2
if i is not j and a[j] is b[i]	if (i != j && a[j] == b[i]) {	04	315A	49037267	8	3
increment ans	ans++;	04	315A	49037267	9	4
Terminate the loop	break;	04	315A	49037267	10	4
	}	04	315A	49037267	11	3
	}	04	315A	49037267	12	2
	}	04	315A	49037267	13	1
print n - ans and a new line	cout << n - ans << endl;	04	315A	49037267	14	1
	}	04	315A	49037267	15	0
MAX = const int with MAX = 1000100	const int MAX = 1000100;	10	587A	46706625	0	0
a = int array of size MAX	int a[MAX];	10	587A	46706625	1	0
	int main() {	10	587A	46706625	2	0
n = int	int n;	10	587A	46706625	3	1
read n	cin >> n;	10	587A	46706625	4	1
for i = 0 to n	for (int i = 0; i < n; i++) {	10	587A	46706625	5	1
x = int	int x;	10	587A	46706625	6	2
read x	cin >> x;	10	587A	46706625	7	2
increment a[x]	a[x]++;	10	587A	46706625	8	2
	}	10	587A	46706625	9	1
ans =int with ans = 0	int ans = 0;	10	587A	46706625	10	1
for i = 0 to MAX - 1	for (int i = 0; i < MAX - 1; i++) {	10	587A	46706625	11	1
increment a[i + 1] by a[i] / 2	a[i + 1] += a[i] / 2;	10	587A	46706625	12	2
set a[i] to a[i] mod 2	a[i] %= 2;	10	587A	46706625	13	2
increment ans by a[i]	ans += a[i];	10	587A	46706625	14	2
	}	10	587A	46706625	15	1
print ans	cout << ans << endl;	10	587A	46706625	16	1
	return 0;	10	587A	46706625	17	1
	}	10	587A	46706625	18	0
	int main() {	26	218A	39284588	0	0
create int n, k, a[1010]	int n, k, a[1010];	26	218A	39284588	1	1
read n and k	cin >> n >> k;	26	218A	39284588	2	1
for i=1 to 2*n+1 inclusive, read a[i]	for (int i = 1; i <= 2 * n + 1; i++) { cin >> a[i]; }	26	218A	39284588	3	1
read a[1]	cout << a[1];	26	218A	39284588	4	1
for i=2 to 2*n inclusive	for (int i = 2; i <= 2 * n; i++) {	26	218A	39284588	5	1
if i is even	if (i % 2 == 0) {	26	218A	39284588	6	2
set b to a[i] - 1	int b = a[i] - 1;	26	218A	39284588	7	3
if a[i - 1] < b and a[i + 1] < b and k different from 0	if (a[i - 1] < b && a[i + 1] < b && k) {	26	218A	39284588	8	3
set a[i] to b	a[i] = b;	26	218A	39284588	9	4
decrement k	k--;	26	218A	39284588	10	4
	}	26	218A	39284588	11	3
	}	26	218A	39284588	12	2
print " ", a[i]	cout << " " << a[i];	26	218A	39284588	13	2
	}	26	218A	39284588	14	1
print " ", a[2 * n + 1]	cout << " " << a[2 * n + 1] << endl;	26	218A	39284588	15	1
	return 0;	26	218A	39284588	16	1
	}	26	218A	39284588	17	0
	int main() {	42	770A	47039924	0	0
str is a string set to abcdefghijklmnopqrstuvwxyz	string str = "abcdefghijklmnopqrstuvwxyz";	42	770A	47039924	1	1
x, y are integers	int x, y;	42	770A	47039924	2	1
read x, y	cin >> x >> y;	42	770A	47039924	3	1
str1, str2 are strings	string str1, str2;	42	770A	47039924	4	1
for i = 0 to y exclusive, add str[i] to str1	for (int i = 0; i < y; i++) { str1 += str[i]; }	42	770A	47039924	5	1
j is an integer set to 0	int j = 0;	42	770A	47039924	6	1
for i = 0 to x exclusive	for (int i = 0; i < x; i++) {	42	770A	47039924	7	1
add str[j] to str2	str2 += str[j];	42	770A	47039924	8	2
if j equals (length of str1) - 1	if (j == str1.length() - 1) {	42	770A	47039924	9	2
set j to 0	j = 0;	42	770A	47039924	10	3
else	} else {	42	770A	47039924	11	2
increment j	j++;	42	770A	47039924	12	3
	}	42	770A	47039924	13	2
	}	42	770A	47039924	14	1
display str2	cout << str2 << endl;	42	770A	47039924	15	1
	}	42	770A	47039924	16	0
declare string str	string str;	25	548A	45682261	0	0
in function isPalindrome returning bool, accepting int idx and int N	bool isPalindrome(int idx, int N) {	25	548A	45682261	1	0
for i = 0 to N / 2 exclusive	for (int i = 0; i < N / 2; i++) {	25	548A	45682261	2	1
if str[i + idx] is not equal to str[N - 1 - i + idx], return false	if (str[i + idx] != str[N - 1 - i + idx]) return false;	25	548A	45682261	3	2
	}	25	548A	45682261	4	1
return true	return true;	25	548A	45682261	5	1
	}	25	548A	45682261	6	0
	int main() {	25	548A	45682261	7	0
read str	cin >> str;	25	548A	45682261	8	1
declare int n and k	int n, k;	25	548A	45682261	9	1
read k	cin >> k;	25	548A	45682261	10	1
set n to str length	n = str.length();	25	548A	45682261	11	1
define int l = n / k	int l = n / k;	25	548A	45682261	12	1
define bool possible = true	bool possible = true;	25	548A	45682261	13	1
if l * k equals n	if (l * k == n) {	25	548A	45682261	14	1
define int i = 0	int i = 0;	25	548A	45682261	15	2
while i less than n	while (i < n) {	25	548A	45682261	16	2
if not isPalindrome(i, l)	if (!isPalindrome(i, l)) {	25	548A	45682261	17	3
set possible to false	possible = false;	25	548A	45682261	18	4
break	break;	25	548A	45682261	19	4
	}	25	548A	45682261	20	3
increase i by l	i += l;	25	548A	45682261	21	3
	}	25	548A	45682261	22	2
else	} else	25	548A	45682261	23	1
set possible to false	possible = false;	25	548A	45682261	24	2
if possible	if (possible)	25	548A	45682261	25	1
print "YES"	cout << "YES";	25	548A	45682261	26	2
else	else	25	548A	45682261	27	1
print "NO"	cout << "NO";	25	548A	45682261	28	2
print newline	cout << "\n";	25	548A	45682261	29	1
	return 0;	25	548A	45682261	30	1
	}	25	548A	45682261	31	0
make integer array a of size 1001 with array of size 4	int a[1001][4];	13	51A	31492802	0	0
	int main() {	13	51A	31492802	1	0
make integer n	int n;	13	51A	31492802	2	1
let string s	string s;	13	51A	31492802	3	1
read n	cin >> n;	13	51A	31492802	4	1
for i = 0 to n exclusive	for (int i = 0; i < n; i++) {	13	51A	31492802	5	1
for j = 0 to 2 exclusive	for (int j = 0; j < 2; j++) {	13	51A	31492802	6	2
read s	cin >> s;	13	51A	31492802	7	3
make integer kp = 0	int kp = 0;	13	51A	31492802	8	3
if j is equal to 1, set kp to 1	if (j == 1) kp = 1;	13	51A	31492802	9	3
set a[i][j * 2] to s[(0 + kp) % 2] - '0'	a[i][j * 2] = s[(0 + kp) % 2] - '0';	13	51A	31492802	10	3
set a[i][j * 2 + 1] to s[(1 + kp) % 2] - '0'	a[i][j * 2 + 1] = s[(1 + kp) % 2] - '0';	13	51A	31492802	11	3
	}	13	51A	31492802	12	2
if i is not equal to n - 1, read s	if (i != n - 1) cin >> s;	13	51A	31492802	13	2
	}	13	51A	31492802	14	1
make integers cnt = 0 and cnt2 = 1	int cnt = 0, cnt2 = 1;	13	51A	31492802	15	1
make int vector k	vector<int> k;	13	51A	31492802	16	1
for i = 0 to n exclusive	for (int i = 0; i < n; i++) {	13	51A	31492802	17	1
create integer ss of size 4 with {0, 0, 0, 0}	int ss[4] = {0, 0, 0, 0};	13	51A	31492802	18	2
for j = 0 to 4 exclusive	for (int j = 0; j < 4; j++) {	13	51A	31492802	19	2
for z = 0 to 4 exclusive, set ss[j] to ss[j] * 10 + a[i][(j + z) % 4]	for (int z = 0; z < 4; z++) { ss[j] = ss[j] * 10 + a[i][(j + z) % 4]; }	13	51A	31492802	20	3
	}	13	51A	31492802	21	2
append min(min(ss[0], ss[1]), min(ss[2], ss[3])) to k	k.push_back(min(min(ss[0], ss[1]), min(ss[2], ss[3])));	13	51A	31492802	22	2
	}	13	51A	31492802	23	1
make int cn = 1	int cn = 1;	13	51A	31492802	24	1
sort k	sort(k.begin(), k.end());	13	51A	31492802	25	1
for i = 1 to k.size() exclusive	for (int i = 1; i < k.size(); i++) {	13	51A	31492802	26	1
if k[i] equals k[i -1], continue loop	if (k[i] == k[i - 1]) continue;	13	51A	31492802	27	2
add 1 to cn	cn++;	13	51A	31492802	28	2
	}	13	51A	31492802	29	1
show cn	cout << cn << endl;	13	51A	31492802	30	1
	return 0;	13	51A	31492802	31	1
	}	13	51A	31492802	32	0
integers = n,m,x,y,curr	int n, m, x, y, curr;	09	164A	3202865	0	0
create a vector using integers of array called graph of 100010 size	vector<int> graph[100010];	09	164A	3202865	1	0
create vector rgraph of size 100010	vector<int> rgraph[100010];	09	164A	3202865	2	0
integers = f[100010]	int f[100010];	09	164A	3202865	3	0
integers = a[100010]	int a[100010];	09	164A	3202865	4	0
make boolean array called used of size 100010	bool used[100010];	09	164A	3202865	5	0
make boolean array called rused with size 100010	bool rused[100010];	09	164A	3202865	6	0
create queue with integers q and rq	queue<int> q, rq;	09	164A	3202865	7	0
	int main() {	09	164A	3202865	8	0
read n,m	cin >> n >> m;	09	164A	3202865	9	1
for i = 0 to less than n do the following	for (int i = 0; i < n; i++) {	09	164A	3202865	10	1
read f[i]	cin >> f[i];	09	164A	3202865	11	2
if f[i] is 1 then do the following	if (f[i] == 1) {	09	164A	3202865	12	2
put i into next position of q	q.push(i);	09	164A	3202865	13	3
set used[i] to true	used[i] = true;	09	164A	3202865	14	3
	}	09	164A	3202865	15	2
if f[i] is 2 then do the following	if (f[i] == 2) {	09	164A	3202865	16	2
put i into next position of rq	rq.push(i);	09	164A	3202865	17	3
set rused[i] to true	rused[i] = true;	09	164A	3202865	18	3
	}	09	164A	3202865	19	2
	}	09	164A	3202865	20	1
for i = 0 to less than m do the following	for (int i = 0; i < m; i++) {	09	164A	3202865	21	1
read x,y	cin >> x >> y;	09	164A	3202865	22	2
minus 1 from x	x--;	09	164A	3202865	23	2
minus 1 from y	y--;	09	164A	3202865	24	2
add new element y to end of vector graph[x]	graph[x].push_back(y);	09	164A	3202865	25	2
add new element x to end of vector rgraph[y]	rgraph[y].push_back(x);	09	164A	3202865	26	2
	}	09	164A	3202865	27	1
if !q.empty is true do the following	while (!q.empty()) {	09	164A	3202865	28	1
set curr to q.front()	curr = q.front();	09	164A	3202865	29	2
remove element on top of stack q	q.pop();	09	164A	3202865	30	2
add one to a[curr]	a[curr]++;	09	164A	3202865	31	2
for i = 0 to less than graph[curr].size() do the following	for (int i = 0; i < graph[curr].size(); i++) {	09	164A	3202865	32	2
if !used[graph[curr][i]] is true	if (!used[graph[curr][i]]) {	09	164A	3202865	33	3
set used[graph[curr][i]] to true	used[graph[curr][i]] = true;	09	164A	3202865	34	4
put graph[curr][i] at top of stack	q.push(graph[curr][i]);	09	164A	3202865	35	4
	}	09	164A	3202865	36	3
	}	09	164A	3202865	37	2
	}	09	164A	3202865	38	1
if !rq.empty is true do the following	while (!rq.empty()) {	09	164A	3202865	39	1
set curr to rq.front()	curr = rq.front();	09	164A	3202865	40	2
remove element on top of stack rq	rq.pop();	09	164A	3202865	41	2
add one to a[curr]	a[curr]++;	09	164A	3202865	42	2
if f[curr] is not equal to 1 then do the following	if (f[curr] != 1) {	09	164A	3202865	43	2
for i = 0 to less than rgraph[curr].size() do the following	for (int i = 0; i < rgraph[curr].size(); i++) {	09	164A	3202865	44	3
if !rused[rgraph[curr][i]] is true	if (!rused[rgraph[curr][i]]) {	09	164A	3202865	45	4
set rused[rgraph[curr][i]] to true	rused[rgraph[curr][i]] = true;	09	164A	3202865	46	5
put rgraph[curr][i] at the top of stack rq	rq.push(rgraph[curr][i]);	09	164A	3202865	47	5
	}	09	164A	3202865	48	4
	}	09	164A	3202865	49	3
	}	09	164A	3202865	50	2
	}	09	164A	3202865	51	1
for i = 0 to less than n do the following	for (int i = 0; i < n; i++) { (a[i] == 2) ? cout << 1 << endl : cout << 0 << endl; }	09	164A	3202865	52	1
	}	09	164A	3202865	53	0
create const integer maxn = 1E2 + 5	const int maxn = 1E2 + 5;	13	754A	48408556	0	0
